<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.11.30	111.918	112.637	111.735	112.527	105674	0	0
2017.12.01	112.527	112.873	111.401	112.144	139882	0	0
2017.12.04	112.739	113.090	112.363	112.387	151259	0	0
2017.12.05	112.387	112.866	112.378	112.564	130159	0	0
2017.12.06	112.564	112.625	111.990	112.279	139083	0	0
2017.12.07	112.270	113.158	112.218	113.080	136401	0	0
2017.12.08	113.080	113.589	113.077	113.473	111903	0	0
2017.12.11	113.530	113.690	113.242	113.548	118899	0	0
2017.12.12	113.548	113.750	113.370	113.541	90026	0	0
2017.12.13	113.541	113.573	112.458	112.539	125627	0	0
2017.12.14	112.533	112.883	112.064	112.378	117636	0	0
2017.12.15	112.378	112.744	112.031	112.616	118755	0	0
2017.12.18	112.712	112.829	112.296	112.540	113304	0	2
2017.12.19	112.540	113.078	112.509	112.884	111286	0	2
2017.12.20	112.884	113.465	112.839	113.387	110203	0	2
2017.12.21	113.387	113.636	113.198	113.324	109328	0	0
2017.12.22	113.324	113.448	113.252	113.285	100889	0	2
2017.12.26	113.272	113.330	113.117	113.224	69326	0	2
2017.12.27	113.228	113.377	113.147	113.344	125439	0	2
2017.12.28	113.344	113.345	112.663	112.849	100831	0	2
2017.12.29	112.849	112.968	112.472	112.695	119934	0	2
2018.01.02	112.503	112.784	112.055	112.268	89903	0	2
2018.01.03	112.268	112.607	112.170	112.504	98828	0	2
2018.01.04	112.503	112.863	112.464	112.728	105928	0	2
2018.01.05	112.732	113.303	112.719	113.062	122487	0	2
2018.01.08	113.137	113.386	112.880	113.079	85465	0	1
2018.01.09	113.080	113.178	112.365	112.631	142865	0	1
2018.01.10	112.631	112.783	111.269	111.425	160675	0	1
2018.01.11	111.428	111.874	111.043	111.241	160778	0	1
2018.01.12	111.241	111.694	110.912	111.053	162108	0	1
2018.01.15	111.070	111.184	110.327	110.517	152007	0	1
2018.01.16	110.517	110.982	110.245	110.434	160408	0	1
2018.01.17	110.434	111.343	110.190	111.286	184193	0	1
2018.01.18	111.260	111.481	110.693	111.088	182419	0	1
2018.01.19	111.088	111.127	110.490	110.827	153998	0	1
2018.01.22	110.552	111.223	110.496	110.917	132707	0	1
2018.01.23	110.910	111.176	110.250	110.302	156176	0	1
2018.01.24	110.304	110.335	108.967	109.219	193818	0	1
2018.01.25	109.219	109.700	108.499	109.403	260329	0	1
2018.01.26	109.399	109.769	108.282	108.583	237498	0	1
2018.01.29	108.693	109.201	108.507	108.949	195894	0	1
2018.01.30	108.949	109.205	108.412	108.775	196490	0	1
2018.01.31	108.775	109.444	108.594	109.185	201322	0	1
2018.02.01	109.184	109.750	109.093	109.385	187683	0	1
2018.02.02	109.388	110.482	109.278	110.171	226293	0	1
2018.02.05	110.171	110.289	108.989	109.060	264052	0	1
2018.02.06	109.076	109.653	108.453	109.555	427330	0	1
2018.02.07	109.555	109.711	108.918	109.298	243098	0	1
2018.02.08	109.298	109.783	108.580	108.738	307790	0	1
2018.02.09	108.738	109.309	108.044	108.796	376477	0	1
2018.02.12	108.852	108.888	108.436	108.637	200465	0	1
2018.02.13	108.637	108.777	107.407	107.808	202500	0	1
2018.02.14	107.808	107.901	106.721	106.987	263736	0	1
2018.02.15	106.987	107.005	106.034	106.114	243911	0	1
2018.02.16	106.114	106.397	105.545	106.254	207370	0	1
2018.02.19	106.320	106.725	106.092	106.584	134658	0	1
2018.02.20	106.584	107.375	106.556	107.322	142734	0	1
2018.02.21	107.321	107.904	107.278	107.768	187097	0	1
2018.02.22	107.769	107.770	106.593	106.744	172388	0	1
2018.02.23	106.746	107.133	106.511	106.880	130642	0	1
2018.02.26	107.092	107.141	106.374	106.903	155079	0	1
2018.02.27	106.903	107.673	106.783	107.326	151964	0	1
2018.02.28	107.323	107.525	106.564	106.662	158660	0	1
2018.03.01	106.662	107.203	106.162	106.222	221251	0	1
2018.03.02	106.222	106.298	105.248	105.730	202116	0	1
2018.03.05	105.489	106.236	105.350	106.192	176697	0	1
2018.03.06	106.192	106.463	105.852	106.108	154568	0	1
2018.03.07	106.114	106.220	105.453	106.055	188177	0	1
2018.03.08	106.055	106.312	105.891	106.178	140168	0	1
2018.03.09	106.178	107.046	106.151	106.806	153938	0	1
2018.03.12	106.753	106.971	106.314	106.438	124765	0	0
2018.03.13	106.438	107.292	106.253	106.459	155452	0	1
2018.03.14	106.457	106.746	106.063	106.313	149847	0	1
2018.03.15	106.313	106.412	105.783	106.336	154414	0	1
2018.03.16	106.339	106.363	105.601	105.983	124553	0	1
2018.03.19	105.960	106.306	105.676	106.026	141276	0	1
2018.03.20	106.026	106.605	105.927	106.527	135255	0	1
2018.03.21	106.527	106.637	105.878	106.063	135779	0	1
2018.03.22	106.063	106.070	105.259	105.311	219551	0	1
2018.03.23	105.311	105.324	104.638	104.734	261700	0	1
2018.03.26	104.651	105.479	104.628	105.403	163046	0	1
2018.03.27	105.398	105.903	105.318	105.327	155207	0	1
2018.03.28	105.328	107.010	105.323	106.845	195795	0	1
2018.03.29	106.842	106.932	106.264	106.419	138533	0	1
2018.03.30	106.420	106.532	106.118	106.279	98888	0	1
2018.04.02	106.165	106.448	105.656	105.879	118942	0	1
2018.04.03	105.879	106.656	105.690	106.603	130439	0	1
2018.04.04	106.603	106.846	105.989	106.772	100269	0	1
2018.04.05	106.770	107.491	106.710	107.380	75912	0	1
2018.04.06	107.385	107.458	106.775	106.944	120921	0	1
2018.04.09	106.935	107.202	106.616	106.745	73969	0	1
2018.04.10	106.754	107.397	106.618	107.197	95793	0	1
2018.04.11	107.197	107.250	106.650	106.785	82648	0	1
2018.04.12	106.779	107.430	106.699	107.301	73686	0	1
2018.04.13	107.292	107.777	107.202	107.372	68247	0	1
2018.04.16	107.451	107.605	107.035	107.113	57868	0	1
2018.04.17	107.106	107.212	106.880	106.999	55398	0	1
2018.04.18	106.996	107.385	106.985	107.229	53522	0	1
2018.04.19	107.222	107.515	107.180	107.360	66959	0	1
2018.04.20	107.354	107.856	107.353	107.655	66763	0	1
2018.04.23	107.761	108.752	107.657	108.700	62850	0	1
2018.04.24	108.698	109.199	108.542	108.812	70230	0	1
2018.04.25	108.812	109.454	108.784	109.422	82335	0	1
2018.04.26	109.414	109.468	109.064	109.295	75839	0	1
2018.04.27	109.283	109.536	108.966	109.051	78944	0	1
2018.04.30	109.051	109.452	109.019	109.327	56922	0	1
2018.05.01	109.341	109.886	109.233	109.857	63993	0	1
2018.05.02	109.853	110.034	109.594	109.836	82392	0	1
2018.05.03	109.836	109.883	108.929	109.188	90856	0	1
2018.05.04	109.188	109.271	108.645	109.072	69002	0	1
2018.05.07	109.102	109.396	108.757	109.088	49927	0	1
2018.05.08	109.088	109.350	108.828	109.121	76773	0	1
2018.05.09	109.121	109.832	108.994	109.740	75378	0	1
2018.05.10	109.740	110.018	109.312	109.385	80171	0	1
2018.05.11	109.385	109.567	109.151	109.386	62375	0	1
2018.05.14	109.328	109.669	109.207	109.647	54975	0	1
2018.05.15	109.645	110.453	109.645	110.340	77518	0	1
2018.05.16	110.340	110.402	110.039	110.392	80892	0	1
2018.05.17	110.386	110.856	110.072	110.747	80080	0	1
2018.05.18	110.743	111.079	110.609	110.759	69331	0	1
2018.05.21	110.864	111.395	110.820	111.037	56468	0	1
2018.05.22	111.008	111.183	110.795	110.893	64943	0	1
2018.05.23	110.893	110.917	109.556	110.069	119079	0	1
2018.05.24	110.047	110.082	108.952	109.241	102413	0	1
2018.05.25	109.241	109.743	109.050	109.382	83460	0	1
2018.05.28	109.727	109.831	109.230	109.404	74326	0	1
2018.05.29	109.399	109.466	108.111	108.753	158356	0	1
2018.05.30	108.753	109.072	108.350	108.903	133005	0	0
2018.05.31	108.903	109.003	108.384	108.802	113170	0	1
2018.06.01	108.802	109.734	108.720	109.529	90069	0	1
2018.06.04	109.420	109.851	109.369	109.812	60130	0	0
2018.06.05	109.807	110.002	109.471	109.773	66573	0	1
2018.06.06	109.769	110.264	109.769	110.177	65864	0	1
2018.06.07	110.176	110.220	109.472	109.690	79584	0	1
2018.06.08	109.683	109.851	109.197	109.543	72008	0	1
2018.06.11	109.292	110.116	109.292	110.032	57263	0	1
2018.06.12	110.032	110.492	109.955	110.364	83394	0	1
2018.06.13	110.359	110.845	110.270	110.331	66411	0	1
2018.06.14	110.315	110.692	109.917	110.619	72170	0	1
2018.06.15	110.612	110.903	110.383	110.659	81256	0	1
2018.06.18	110.683	110.733	110.298	110.538	43450	0	1
2018.06.19	110.538	110.571	109.549	110.049	99635	0	1
2018.06.20	110.060	110.450	109.852	110.354	75044	0	1
2018.06.21	110.350	110.756	109.840	109.947	83142	0	1
2018.06.22	109.960	110.216	109.800	109.974	70083	0	1
2018.06.25	109.855	110.038	109.366	109.736	80976	0	1
2018.06.26	109.742	110.218	109.368	110.008	73717	0	1
2018.06.27	110.008	110.489	109.682	110.253	98960	0	1
2018.06.28	110.252	110.647	109.964	110.485	86392	0	1
2018.06.29	110.480	110.943	110.372	110.756	85501	0	1
2018.07.02	110.585	111.061	110.551	110.894	79842	0	1
2018.07.03	110.894	111.132	110.507	110.555	80100	0	1
2018.07.04	110.553	110.599	110.275	110.428	108972	0	1
2018.07.05	110.404	110.726	110.286	110.584	120131	0	1
2018.07.06	110.604	110.785	110.380	110.460	69193	0	1
2018.07.09	110.379	110.900	110.348	110.845	52169	0	1
2018.07.10	110.818	111.352	110.758	110.992	63708	0	1
2018.07.11	111.007	112.171	110.765	111.989	109942	0	1
2018.07.12	111.984	112.624	111.910	112.530	84294	0	1
2018.07.13	112.455	112.800	112.275	112.337	69585	0	1
2018.07.16	112.199	112.561	112.155	112.268	51195	0	1
2018.07.17	112.268	112.924	112.220	112.862	78737	0	1
2018.07.18	112.857	113.135	112.706	112.843	71329	0	0
2018.07.19	112.828	113.167	112.044	112.439	115902	0	1
2018.07.20	112.446	112.621	111.381	111.444	107125	0	1
2018.07.23	111.364	111.540	110.747	111.337	81692	0	4
2018.07.24	111.339	111.509	110.956	111.195	72021	0	6
2018.07.25	111.194	111.380	110.660	110.967	85087	0	6
2018.07.26	110.960	111.244	110.584	111.217	77596	0	4
2018.07.27	111.207	111.245	110.793	111.007	57204	0	7
2018.07.30	110.930	111.162	110.887	111.059	47517	0	3
2018.07.31	111.021	111.955	110.743	111.862	82592	0	3
2018.08.01	111.814	112.147	111.384	111.716	70957	0	4
2018.08.02	111.705	111.733	111.310	111.652	68214	0	4
2018.08.03	111.654	111.876	111.097	111.267	61965	0	5
2018.08.06	111.214	111.522	111.147	111.399	38414	0	5
2018.08.07	111.396	111.474	110.988	111.375	44592	0	6
2018.08.08	111.370	111.435	110.833	110.976	46131	0	6
2018.08.09	110.989	111.180	110.703	111.077	50650	0	8
2018.08.10	111.085	111.166	110.507	110.806	85389	0	4
2018.08.13	110.422	110.934	110.107	110.717	78746	0	6
2018.08.14	110.644	111.311	110.584	111.139	63460	0	4
2018.08.15	111.142	111.427	110.429	110.734	71645	0	4
2018.08.16	110.731	111.119	110.455	110.888	77354	0	6
2018.08.17	110.865	111.048	110.312	110.489	61326	0	3
2018.08.20	110.579	110.681	110.014	110.063	44431	0	5
2018.08.21	110.059	110.544	109.770	110.271	59042	0	5
2018.08.22	110.220	110.612	110.023	110.545	57903	0	5
2018.08.23	110.555	111.313	110.515	111.265	54830	0	3
2018.08.24	111.239	111.484	111.100	111.234	61070	0	5
2018.08.27	111.306	111.343	110.932	111.071	41536	0	4
2018.08.28	111.042	111.353	110.950	111.185	51428	0	3
2018.08.29	111.185	111.823	111.118	111.674	58596	0	5
2018.08.30	111.687	111.753	110.950	110.970	57442	0	5
2018.08.31	110.960	111.135	110.681	111.089	63016	0	5
2018.09.03	111.051	111.184	110.846	111.033	48787	0	8
2018.09.04	110.995	111.530	110.897	111.356	57573	0	5
2018.09.05	111.366	111.754	111.323	111.522	62926	0	3
2018.09.06	111.513	111.527	110.517	110.744	66655	0	5
2018.09.07	110.739	111.243	110.376	111.039	69925	0	6
2018.09.10	111.028	111.244	110.846	111.101	43279	0	4
2018.09.11	111.101	111.638	111.059	111.624	43856	0	3
2018.09.12	111.593	111.646	111.110	111.252	48667	0	4
2018.09.13	111.257	111.995	111.155	111.915	52947	0	3
2018.09.14	111.919	112.165	111.750	112.054	52907	0	6
2018.09.17	112.013	112.118	111.757	111.840	38589	0	3
2018.09.18	111.838	112.385	111.660	112.359	68801	0	5
2018.09.19	112.353	112.443	112.157	112.266	52240	0	5
2018.09.20	112.275	112.580	112.038	112.483	64267	0	5
2018.09.21	112.485	112.870	112.423	112.512	54668	0	4
2018.09.24	112.426	112.835	112.411	112.794	36196	0	5
2018.09.25	112.795	112.976	112.737	112.971	48230	0	5
2018.09.26	112.957	113.132	112.628	112.707	56884	0	5
2018.09.27	112.718	113.465	112.557	113.354	58466	0	4
2018.09.28	113.352	113.703	113.308	113.671	59006	0	4
2018.10.01	113.696	114.057	113.695	113.890	45221	0	5
2018.10.02	113.873	114.013	113.525	113.637	56983	0	4
2018.10.03	113.614	114.539	113.517	114.530	57015	0	5
2018.10.04	114.510	114.546	113.630	113.897	75804	0	6
2018.10.05	113.892	114.098	113.554	113.687	75992	0	5
2018.10.08	113.780	113.938	112.818	113.225	53865	0	5
2018.10.09	113.217	113.388	112.867	112.947	86861	0	5
2018.10.10	112.942	113.282	112.250	112.265	86615	0	3
2018.10.11	112.267	112.532	111.828	112.156	150127	0	5
2018.10.12	112.118	112.493	111.875	112.181	93230	0	6
2018.10.15	112.129	112.231	111.622	111.762	90260	0	5
2018.10.16	111.761	112.334	111.728	112.245	69547	0	5
2018.10.17	112.252	112.671	112.012	112.632	75160	0	8
2018.10.18	112.636	112.725	111.943	112.181	94429	0	3
2018.10.19	112.183	112.644	112.138	112.527	92449	0	8
2018.10.22	112.574	112.882	112.345	112.811	77589	0	3
2018.10.23	112.810	112.837	111.948	112.436	104514	0	4
2018.10.24	112.437	112.739	112.086	112.244	113873	0	5
2018.10.25	112.206	112.670	111.816	112.401	110003	0	4
2018.10.26	112.398	112.443	111.374	111.877	143092	0	8
2018.10.29	111.890	112.558	111.771	112.353	107100	0	7
2018.10.30	112.352	113.160	112.300	113.083	102606	0	3
2018.10.31	113.084	113.380	112.801	112.928	80430	0	3
2018.11.01	112.928	112.998	112.602	112.650	70295	0	4
2018.11.02	112.650	113.318	112.555	113.187	85668	0	8
2018.11.05	113.127	113.334	113.071	113.187	54046	0	7
2018.11.06	113.180	113.500	113.097	113.424	52293	0	4
2018.11.07	113.416	113.815	112.942	113.491	94222	0	5
2018.11.08	113.530	114.083	113.469	114.062	57212	0	4
2018.11.09	114.062	114.080	113.634	113.790	60534	0	3
2018.11.12	113.797	114.203	113.656	113.832	65340	0	5
2018.11.13	113.831	114.142	113.577	113.799	77688	0	4
2018.11.14	113.799	114.006	113.293	113.609	80439	0	4
2018.11.15	113.609	113.702	113.095	113.619	84816	0	5
2018.11.16	113.619	113.636	112.638	112.809	72520	0	4
2018.11.19	112.762	112.870	112.415	112.544	69142	0	4
2018.11.20	112.546	112.839	112.300	112.752	78131	0	4
2018.11.21	112.752	113.144	112.640	113.049	61212	0	4
2018.11.22	113.042	113.197	112.881	112.929	54720	0	4
2018.11.23	112.929	113.006	112.657	112.935	47825	0	5
2018.11.26	112.909	113.647	112.873	113.573	55424	0	5
2018.11.27	113.578	113.839	113.410	113.775	57720	0	4
2018.11.28	113.775	114.033	113.437	113.672	54478	0	4
2018.11.29	113.678	113.678	113.185	113.478	55914	0	3
2018.11.30	113.471	113.716	113.277	113.471	46939	0	8
2018.12.03	113.689	113.817	113.371	113.643	47391	0	5
2018.12.04	113.645	113.653	112.572	112.769	75626	0	5
2018.12.05	112.766	113.240	112.645	113.185	40618	0	3
2018.12.06	113.192	113.209	112.227	112.664	111587	0	4
2018.12.07	112.664	112.923	112.549	112.680	84324	0	6
2018.12.10	112.573	113.372	112.237	113.325	85379	0	5
2018.12.11	113.326	113.461	113.004	113.366	86751	0	4
2018.12.12	113.363	113.515	113.136	113.278	84383	0	6
2018.12.13	113.275	113.704	113.166	113.618	74113	0	5
2018.12.14	113.620	113.670	113.209	113.379	73032	0	3
2018.12.17	113.334	113.517	112.676	112.826	75682	0	6
2018.12.18	112.821	112.851	112.245	112.512	80572	0	5
2018.12.19	112.510	112.661	112.085	112.469	96881	0	6
2018.12.20	112.477	112.599	110.808	111.280	141644	0	7
2018.12.21	111.282	111.456	110.929	111.201	132145	0	4
2018.12.24	111.195	111.195	110.264	110.329	117544	0	3
2018.12.26	110.413	111.405	110.275	111.360	58541	0	3
2018.12.27	111.360	111.360	110.452	110.970	153865	0	4
2018.12.28	110.975	111.019	110.140	110.285	111878	0	6
2018.12.31	110.256	110.471	109.553	109.603	76513	0	5
2019.01.02	109.424	109.458	108.703	108.870	93194	0	3
2019.01.03	108.868	108.888	104.720	107.666	153873	0	8
2019.01.04	107.631	108.585	107.508	108.504	132155	0	3
2019.01.07	108.489	108.743	108.014	108.706	84474	0	4
2019.01.08	108.706	109.083	108.436	108.731	88178	0	5
2019.01.09	108.729	109.000	107.971	108.150	85140	0	3
2019.01.10	108.148	108.517	107.768	108.423	86056	0	3
2019.01.11	108.423	108.594	108.140	108.539	76065	0	3
2019.01.14	108.506	108.545	107.982	108.154	56781	0	4
2019.01.15	108.159	108.763	108.127	108.663	84379	0	5
2019.01.16	108.686	109.192	108.366	109.088	66931	0	7
2019.01.17	109.086	109.394	108.682	109.241	78423	0	5
2019.01.18	109.239	109.887	109.052	109.767	71715	0	5
2019.01.21	109.672	109.757	109.470	109.655	47862	0	5
2019.01.22	109.652	109.691	109.142	109.365	70095	0	6
2019.01.23	109.364	109.995	109.317	109.603	70541	0	5
2019.01.24	109.609	109.796	109.416	109.631	79512	0	5
2019.01.25	109.632	109.947	109.451	109.541	76467	0	8
2019.01.28	109.537	109.581	109.157	109.333	69755	0	8
2019.01.29	109.329	109.538	109.126	109.386	66054	0	4
2019.01.30	109.364	109.740	108.806	109.027	73636	0	5
2019.01.31	109.043	109.064	108.492	108.853	71360	0	8
2019.02.01	108.851	109.575	108.720	109.483	64897	0	6
2019.02.04	109.509	110.158	109.428	109.862	60684	0	5
2019.02.05	109.897	110.037	109.773	109.952	57889	0	5
2019.02.06	109.958	110.049	109.554	109.959	57101	0	3
2019.02.07	109.970	110.084	109.601	109.796	67507	0	4
2019.02.08	109.814	109.894	109.644	109.759	54913	0	4
2019.02.11	109.729	110.465	109.729	110.361	47410	0	3
2019.02.12	110.380	110.649	110.328	110.468	58605	0	5
2019.02.13	110.479	111.051	110.417	110.990	54809	0	4
2019.02.14	110.999	111.124	110.440	110.459	69930	0	4
2019.02.15	110.475	110.641	110.252	110.434	63807	0	4
2019.02.18	110.435	110.648	110.435	110.583	50268	0	6
2019.02.19	110.596	110.819	110.448	110.607	55559	0	5
2019.02.20	110.598	110.946	110.524	110.836	57794	0	6
2019.02.21	110.845	110.858	110.560	110.688	61998	0	5
2019.02.22	110.703	110.902	110.554	110.654	51744	0	5
2019.02.25	110.642	111.231	110.574	111.049	58500	0	5
2019.02.26	111.057	111.076	110.418	110.567	55308	0	4
2019.02.27	110.574	111.069	110.350	110.982	53124	0	4
2019.02.28	110.987	111.490	110.656	111.373	57100	0	4
2019.03.01	111.378	112.072	111.320	111.922	54909	0	6
2019.03.04	111.852	112.010	111.636	111.730	61259	0	5
2019.03.05	111.744	112.132	111.705	111.872	51247	0	5
2019.03.06	111.878	111.918	111.611	111.752	50157	0	4
2019.03.07	111.768	111.855	111.478	111.547	52759	0	4
2019.03.08	111.581	111.647	110.767	111.152	65445	0	5
2019.03.11	111.145	111.304	110.874	111.210	51632	0	4
2019.03.12	111.210	111.463	111.105	111.338	56760	0	7
2019.03.13	111.340	111.461	111.002	111.271	56993	0	5
2019.03.14	111.272	111.829	111.141	111.649	65172	0	4
2019.03.15	111.648	111.897	111.380	111.450	52625	0	5
2019.03.18	111.471	111.626	111.292	111.435	45455	0	4
2019.03.19	111.435	111.471	111.154	111.394	49284	0	3
2019.03.20	111.394	111.691	110.531	110.626	67255	0	4
2019.03.21	110.624	110.955	110.294	110.844	62338	0	3
2019.03.22	110.844	110.894	109.737	109.928	81806	0	1
2019.03.25	110.000	110.237	109.704	109.973	79670	0	4
2019.03.26	109.972	110.686	109.951	110.611	72313	0	4
2019.03.27	110.611	110.711	110.231	110.448	89987	0	6
2019.03.28	110.447	110.828	110.015	110.628	84360	0	6
2019.03.29	110.628	110.945	110.529	110.810	71101	0	3
2019.04.01	110.994	111.440	110.804	111.336	62714	0	3
2019.04.02	111.352	111.451	111.244	111.305	51998	0	7
2019.04.03	111.310	111.574	111.204	111.476	50657	0	6
2019.04.04	111.487	111.669	111.331	111.654	47097	0	5
2019.04.05	111.653	111.819	111.545	111.700	52328	0	6
2019.04.08	111.627	111.748	111.278	111.456	42091	0	5
2019.04.09	111.492	111.575	110.975	111.124	46159	0	4
2019.04.10	111.140	111.276	110.839	110.996	44980	0	3
2019.04.11	111.008	111.693	110.890	111.639	51427	0	6
2019.04.12	111.638	112.088	111.582	112.003	49623	0	6
2019.04.15	111.961	112.091	111.882	112.024	35460	0	4
2019.04.16	112.028	112.040	111.842	111.997	46272	0	4
2019.04.17	112.014	112.161	111.917	112.050	46439	0	4
2019.04.18	112.067	112.067	111.760	111.971	51489	0	4
2019.04.19	111.962	112.002	111.891	111.905	59285	0	3
2019.04.22	111.905	111.986	111.841	111.925	27542	0	3
2019.04.23	111.932	112.030	111.648	111.852	40773	0	4
2019.04.24	111.858	112.396	111.677	112.177	47599	0	3
2019.04.25	112.189	112.235	111.364	111.614	53556	0	8
2019.04.26	111.609	112.028	111.424	111.558	55286	0	3
2019.04.29	111.525	111.894	111.525	111.635	29152	0	3
2019.04.30	111.634	111.686	111.231	111.419	49356	0	3
2019.05.01	111.428	111.608	111.046	111.371	38999	0	4
2019.05.02	111.378	111.661	111.345	111.502	50134	0	3
2019.05.03	111.500	111.691	111.065	111.091	50219	0	4
2019.05.06	110.621	110.955	110.278	110.761	60105	0	5
2019.05.07	110.858	110.858	110.165	110.234	67106	0	5
2019.05.08	110.240	110.290	109.900	110.085	74011	0	5
2019.05.09	110.094	110.129	109.467	109.770	75597	0	5
2019.05.10	109.757	110.045	109.472	109.963	91968	0	4
2019.05.13	109.755	109.831	109.016	109.292	78316	0	3
2019.05.14	109.299	109.768	109.140	109.598	57887	0	4
2019.05.15	109.596	109.699	109.150	109.586	66017	0	4
2019.05.16	109.580	109.963	109.331	109.834	57204	0	3
2019.05.17	109.841	110.190	109.489	110.039	80581	0	5
2019.05.20	110.101	110.315	109.804	110.053	63419	0	5
2019.05.21	110.056	110.668	110.013	110.484	58803	0	4
2019.05.22	110.480	110.622	110.237	110.340	50544	0	4
2019.05.23	110.351	110.360	109.453	109.593	77872	0	4
2019.05.24	109.594	109.741	109.269	109.286	58553	0	4
2019.05.27	109.319	109.581	109.275	109.512	41304	0	2
2019.05.28	109.485	109.625	109.206	109.362	65777	0	3
2019.05.29	109.364	109.695	109.145	109.582	75428	0	5
2019.05.30	109.584	109.922	109.468	109.611	64140	0	4
2019.05.31	109.613	109.622	108.274	108.276	95115	0	5
2019.06.03	108.270	108.442	107.879	108.057	80351	0	8
2019.06.04	108.050	108.355	107.841	108.135	74836	0	5
2019.06.05	108.144	108.481	107.811	108.447	77862	0	3
2019.06.06	108.449	108.559	108.020	108.395	69708	0	4
2019.06.07	108.384	108.613	107.876	108.192	73280	0	5
2019.06.10	108.468	108.711	108.308	108.433	55214	0	4
2019.06.11	108.432	108.797	108.345	108.509	58138	0	3
2019.06.12	108.517	108.563	108.212	108.494	67553	0	3
2019.06.13	108.501	108.533	108.160	108.385	59721	0	3
2019.06.14	108.376	108.583	108.155	108.539	60682	0	3
2019.06.17	108.490	108.719	108.469	108.540	46591	0	3
2019.06.18	108.537	108.673	108.055	108.445	76383	0	3
2019.06.19	108.445	108.613	107.896	108.100	70591	0	3
2019.06.20	108.100	108.138	107.208	107.291	97337	0	4
2019.06.21	107.285	107.731	107.044	107.326	81912	0	3
2019.06.24	107.302	107.533	107.244	107.294	58184	0	3
2019.06.25	107.290	107.405	106.774	107.177	85546	0	4
2019.06.26	107.177	107.846	107.097	107.786	62958	0	3
2019.06.27	107.780	108.157	107.644	107.793	60932	0	5
2019.06.28	107.784	107.928	107.558	107.917	60405	0	4
2019.07.01	107.914	108.529	107.914	108.438	66502	0	3
2019.07.02	108.433	108.471	107.763	107.881	53401	0	4
2019.07.03	107.884	107.910	107.529	107.810	53372	0	6
2019.07.04	107.811	107.839	107.703	107.812	27145	0	4
2019.07.05	107.809	108.634	107.765	108.457	52973	0	5
2019.07.08	108.425	108.802	108.276	108.717	15457	0	3
2019.07.09	108.716	108.962	108.676	108.851	31392	0	3
2019.07.10	108.849	108.989	108.346	108.461	44509	0	3
2019.07.11	108.455	108.529	107.857	108.488	44857	0	3
2019.07.12	108.487	108.607	107.800	107.888	47838	0	3
2019.07.15	107.846	108.107	107.796	107.906	37574	0	3
2019.07.16	107.906	108.375	107.819	108.238	44688	0	3
2019.07.17	108.238	108.325	107.934	107.941	36671	0	3
2019.07.18	107.939	108.015	107.209	107.287	50746	0	3
2019.07.19	107.287	107.977	107.215	107.694	51376	0	3
2019.07.22	107.766	108.068	107.698	107.862	41319	0	3
2019.07.23	107.862	108.286	107.824	108.217	38423	0	3
2019.07.24	108.212	108.273	107.935	108.177	41645	0	3
2019.07.25	108.177	108.754	108.037	108.627	47539	0	3
2019.07.26	108.628	108.827	108.560	108.654	37387	0	3
2019.07.29	108.619	108.899	108.418	108.775	27848	0	3
2019.07.30	108.777	108.946	108.451	108.598	44620	0	3
2019.07.31	108.606	108.999	108.489	108.750	60530	0	3
2019.08.01	108.769	109.317	107.251	107.335	83723	0	3
2019.08.02	107.337	107.566	106.507	106.597	127998	0	3
2019.08.05	106.572	106.680	105.784	105.945	124382	0	3
2019.08.06	105.944	107.088	105.519	106.473	119689	0	3
2019.08.07	106.472	106.473	105.493	106.265	122472	0	3
2019.08.08	106.264	106.300	105.891	106.072	84106	0	3
2019.08.09	106.071	106.090	105.267	105.649	71544	0	3
2019.08.12	105.544	105.690	105.047	105.294	62889	0	3
2019.08.13	105.296	106.973	105.064	106.743	91394	0	2
2019.08.14	106.743	106.766	105.649	105.904	94948	0	3
2019.08.15	105.906	106.776	105.700	106.121	117651	0	3
2019.08.16	106.122	106.492	105.991	106.369	70008	0	3
2019.08.19	106.276	106.695	106.245	106.630	54752	0	3
2019.08.20	106.628	106.689	106.160	106.222	63331	0	3
2019.08.21	106.222	106.644	106.213	106.614	55911	0	3
2019.08.22	106.612	106.651	106.250	106.438	60670	0	3
2019.08.23	106.434	106.732	105.254	105.411	97061	0	3
2019.08.26	104.996	106.412	104.449	106.119	148459	0	3
2019.08.27	106.144	106.157	105.588	105.747	97595	0	2
2019.08.28	105.747	106.228	105.649	106.118	81650	0	2
2019.08.29	106.114	106.680	105.827	106.515	87501	0	2
2019.08.30	106.508	106.542	106.099	106.253	89303	0	2
2019.09.02	106.027	106.398	105.925	106.212	47189	0	2
2019.09.03	106.209	106.383	105.735	105.928	96637	0	2
2019.09.04	105.927	106.442	105.826	106.383	73950	0	2
2019.09.05	106.383	107.228	106.323	106.938	90772	0	2
2019.09.06	106.930	107.099	106.620	106.902	77593	0	2
2019.09.09	106.796	107.271	106.759	107.237	57598	0	2
2019.09.10	107.235	107.584	107.179	107.541	59831	0	2
2019.09.11	107.530	107.852	107.494	107.810	56398	0	2
2019.09.12	107.805	108.186	107.518	108.095	83053	0	2
2019.09.13	108.098	108.258	107.903	108.073	59530	0	2
2019.09.16	108.066	108.165	107.494	108.129	65379	0	2
